Trial,Idx,AttemptNum,TotalAttempts,Tool,PosX,PosY
Spiky,2,5,11,obj2,193.9571205021357,564.8469865905807
Spiky,2,6,11,obj1,182.58076742130984,559.7166751508977
Spiky,2,7,11,obj2,182.58076742130984,559.7166751508977
Spiky,2,8,11,obj1,182.58076742130984,559.7166751508977
Spiky,2,9,11,obj2,184.8965024690379,463.6988875649039
Spiky,2,10,11,obj1,184.3573009709972,526.681694735608
Spiky,3,0,11,obj3,197.4505201874728,512.1868213128099
Spiky,3,1,11,obj1,197.4505201874728,512.1868213128099
Spiky,3,2,11,obj1,203.98992036970176,382.52338520535517
Spiky,3,3,11,obj1,200.1469305326546,509.5544605848291
Spiky,3,4,11,obj3,200.1469305326546,509.5544605848291
Spiky,3,5,11,obj1,200.1469305326546,509.5544605848291
Spiky,3,6,11,obj3,199.71259927808705,464.38338431428207
Spiky,3,7,11,obj2,206.0800047238913,551.7484522863826
Spiky,3,8,11,obj1,206.0800047238913,551.7484522863826
Spiky,3,9,11,obj2,206.0800047238913,551.7484522863826
Spiky,3,10,11,obj3,206.0800047238913,551.7484522863826
Spiky,4,0,11,obj2,194.71956637488532,421.80881875032685
Spiky,4,1,11,obj2,191.2065152886988,402.4484149142036
Spiky,4,2,11,obj3,197.18699497782924,461.21636412485793
Spiky,4,3,11,obj3,191.2065152886988,402.4484149142036
Spiky,4,4,11,obj2,191.2065152886988,402.4484149142036
Spiky,4,5,11,obj3,194.71956637488532,421.80881875032685
Spiky,4,6,11,obj2,194.71956637488532,421.80881875032685
Spiky,4,7,11,obj2,170.36269,385.1962
Spiky,4,8,11,obj1,187.68379,462.7867
Spiky,4,9,11,obj2,187.68379,462.7867
Spiky,4,10,11,obj2,240.23186,320.61014
Spiky,5,0,11,obj2,188.1048821842444,566.3124133973528
Spiky,5,1,11,obj3,191.28848213116254,581.3959565078343
Spiky,5,2,11,obj1,188.1048821842444,566.3124133973528
Spiky,5,3,11,obj2,188.1048821842444,566.3124133973528
Spiky,5,4,11,obj3,188.1048821842444,566.3124133973528
Spiky,5,5,11,obj1,191.28848213116254,581.3959565078343
Spiky,5,6,11,obj3,191.28848213116254,581.3959565078343
Spiky,5,7,11,obj2,193.70475951708698,448.4868447705077
Spiky,5,8,11,obj1,193.70475951708698,448.4868447705077
Spiky,5,9,11,obj2,193.70475951708698,448.4868447705077
Spiky,5,10,11,obj3,190.9955363220443,453.9110924955746
Spiky,6,0,11,obj2,190.09359285990192,493.7371153543904
Spiky,6,1,11,obj1,190.09359285990192,493.7371153543904
Spiky,6,2,11,obj3,206.20976251627255,541.1796565530217
Spiky,6,3,11,obj1,206.20976251627255,541.1796565530217
Spiky,6,4,11,obj2,186.7291799068277,471.6935546123591
Spiky,6,5,11,obj3,206.20976251627255,541.1796565530217
Spiky,6,6,11,obj1,186.7291799068277,471.6935546123591
Spiky,6,7,11,obj2,186.7291799068277,471.6935546123591
Spiky,6,8,11,obj3,178.7749376408341,383.476485644438
Spiky,6,9,11,obj2,178.7749376408341,383.476485644438
Spiky,6,10,11,obj3,190.09359285990192,493.7371153543904
Spiky,7,0,11,obj2,171.45052018747282,529.7099325480541
Spiky,7,1,11,obj2,173.71259927808705,408.17004096529314
Spiky,7,2,11,obj2,184.7351971854068,471.53477626227004
Spiky,7,3,11,obj1,184.7351971854068,471.53477626227004
Spiky,7,4,11,obj2,184.7351971854068,471.53477626227004
Spiky,7,5,11,obj1,154.83438458962553,429.41470497054235
Spiky,7,6,11,obj2,154.83438458962553,429.41470497054235
Spiky,7,7,11,obj1,154.83438458962553,429.41470497054235
Spiky,7,8,11,obj1,173.71259927808705,408.17004096529314
Spiky,7,9,11,obj2,173.71259927808705,408.17004096529314
Spiky,7,10,11,obj2,157.21946240481898,482.25417399886254
Spiky,8,0,11,obj2,183.21946240481896,401.2562853681386
Spiky,8,1,11,obj2,191.6970404234209,488.70665694153786
Spiky,8,2,11,obj3,169.1178313280042,581.8882400071636
Spiky,8,3,11,obj3,143.70069633791945,394.30237510884695
Spiky,8,4,11,obj1,188.4911393951096,418.53048293952276
Spiky,8,5,11,obj3,188.4911393951096,418.53048293952276
Spiky,8,6,11,obj1,188.4911393951096,418.53048293952276
Spiky,8,7,11,obj1,186.65864197375114,467.03337150624907
Spiky,8,8,11,obj2,186.65864197375114,467.03337150624907
Spiky,8,9,11,obj1,186.65864197375114,467.03337150624907
Spiky,8,10,11,obj3,191.6970404234209,488.70665694153786
Spiky,9,0,11,obj3,169.25599990474404,545.5201069707723
Spiky,9,1,11,obj1,192.19940226108392,487.43095949333224
Spiky,9,2,11,obj3,192.19940226108392,487.43095949333224
Spiky,9,3,11,obj3,200.4910881734985,466.9389890692033
Spiky,9,4,11,obj1,192.19940226108392,487.43095949333224
Spiky,9,5,11,obj3,185.17985468224126,391.80132019850504
Spiky,9,6,11,obj1,185.17985468224126,391.80132019850504
Spiky,9,7,11,obj2,200.4910881734985,466.9389890692033
Spiky,9,8,11,obj2,31.7025812101101,538.4292719717109
Spiky,9,9,11,obj1,203.8345270440321,423.5339957171389
Spiky,9,10,11,obj1,31.7025812101101,538.4292719717109
Trap,0,0,1,obj1,264.751537307525,232.0
Trap,1,0,2,obj2,237.48188725230588,232.0
