Trial,Idx,AttemptNum,TotalAttempts,Tool,PosX,PosY
Chaining,6,9,11,obj1,56.31045796175751,365.04328685620163
Chaining,6,10,11,obj2,41.27639809859825,411.1248532724359
Chaining,7,0,11,obj2,537.182943774946,480.7739825132555
Chaining,7,1,11,obj1,530.5016879265307,312.97318431911754
Chaining,7,2,11,obj2,531.9679660061082,538.4504588400791
Chaining,7,3,11,obj2,537.0561530541445,28.0
Chaining,7,4,11,obj2,539.3805303284581,262.92223392646446
Chaining,7,5,11,obj1,537.3541720055662,232.6235743467405
Chaining,7,6,11,obj3,69.41974778231906,510.9630141007385
Chaining,7,7,11,obj1,532.4815058842504,28.580086279074894
Chaining,7,8,11,obj1,534.0536111085352,269.602874167802
Chaining,7,9,11,obj3,529.1441171072869,251.13760357138287
Chaining,7,10,11,obj2,538.4362334135781,234.36570414306374
Chaining,8,0,11,obj3,528.9728413923773,23.0
Chaining,8,1,11,obj2,537.851543259168,269.1017699427674
Chaining,8,2,11,obj2,51.83228735791882,507.45093123157534
Chaining,8,3,11,obj3,522.0012370737651,23.0
Chaining,8,4,11,obj2,67.21741383202557,475.03356410605073
Chaining,8,5,11,obj3,520.8766761425259,23.0
Chaining,8,6,11,obj2,50.09774295543613,521.5383761399448
Chaining,8,7,11,obj1,530.7732470040022,250.88921209199108
Chaining,8,8,11,obj1,46.48306646016305,510.397665308226
Chaining,8,9,11,obj3,527.3073153006967,259.7002095882769
Chaining,8,10,11,obj3,521.1481460963928,74.6691180087573
Chaining,9,0,11,obj2,534.7459757584265,500.7621525296782
Chaining,9,1,11,obj1,539.1849682511702,28.0
Chaining,9,2,11,obj3,50.35409092535003,402.71569624709053
Chaining,9,3,11,obj3,523.9550922149002,327.45813962647844
Chaining,9,4,11,obj1,537.0561530541445,28.0
Chaining,9,5,11,obj1,69.25262697395125,500.9813348367224
Chaining,9,6,11,obj3,527.7457543706086,23.0
Chaining,9,7,11,obj2,537.2377688165782,28.0
Chaining,9,8,11,obj3,529.8856650325082,527.3938227576932
Chaining,9,9,11,obj1,530.5210108719958,289.75163974817434
Chaining,9,10,11,obj2,538.5656473089075,555.4949470900699
Bridge,0,0,1,obj1,295.92770978188236,48.0
Bridge,1,0,9,obj3,112.42641583668713,314.0331917501601
Bridge,1,1,9,obj3,226.856625865671,212.7761895005191
Bridge,1,2,9,obj2,219.7174202988036,48.0
Bridge,1,3,9,obj3,555.8919185224563,504.1735059085274
Bridge,1,4,9,obj3,217.6610717273049,163.7450580927026
Bridge,1,5,9,obj1,362.1863695872879,545.9612297506709
Bridge,1,6,9,obj3,161.1497809423169,558.5046386925644
Bridge,1,7,9,obj2,321.76393034742836,48.0
Bridge,1,8,9,obj1,274.0572746464874,48.83504132035229
Bridge,2,0,1,obj1,284.8812292799259,48.0
Bridge,3,0,2,obj3,107.88122929765578,170.0622186573304
Bridge,3,1,2,obj1,290.4227414964962,48.0
Bridge,4,0,6,obj3,320.02698434213767,33.0
Bridge,4,1,6,obj2,291.73902743155713,243.2753121932507
Bridge,4,2,6,obj2,203.11782490245614,467.87913327083453
Bridge,4,3,6,obj2,271.9036978448212,188.08981747273867
Bridge,4,4,6,obj3,194.3157458026477,289.30731319521936
Bridge,4,5,6,obj1,283.39563743938726,62.0
Bridge,5,0,2,obj3,340.9485539280509,554.2799163274707
Bridge,5,1,2,obj1,286.0668650007931,48.0
Bridge,6,0,1,obj1,285.671296996242,62.0
Bridge,7,0,4,obj3,561.0570968608996,531.2667295883482
Bridge,7,1,4,obj3,341.52154804278325,212.81961771185183
Bridge,7,2,4,obj3,280.006943751006,469.4187461962091
Bridge,7,3,4,obj1,320.289086535301,48.0
Bridge,8,0,8,obj1,564.2862305475045,546.9636346581034
Bridge,8,1,8,obj2,284.50130936956964,251.42038139432557
Bridge,8,2,8,obj1,396.1663610657165,315.44504134522003
Bridge,8,3,8,obj1,353.54452493365227,48.0
Bridge,8,4,8,obj2,426.6264908538495,216.78443461179526
